Zaman_saniye,Cikis_Voltaji_V,Bobin_Akimi_A
0.0001275,2.048779764204129,3.1275575752859353
0.000128,2.064197997673781,3.1253699840694953
0.0001285,2.0796036475876067,3.123165997029388
0.000129,2.094996633314256,3.1209456275944123
0.0001295,2.1103768742981273,3.118708889279108
0.00013000000000000002,2.1257442900597905,3.1168387744070736
0.0001305,2.1411476283017508,3.133718258418697
0.000131,2.156633715008927,3.150581312757396
0.0001315,2.1722024592023654,3.167427849440272
0.000132,2.187853769472933,3.1842577805814405
0.0001325,2.203587553981851,3.201071018392489
0.000133,2.2194037204612242,3.2178674751829224
0.0001335,2.235302176214581,3.234647063360629
0.000134,2.2512828281174078,3.2514096954323337
0.0001345,2.2673455826176894,3.2681552840040515
0.000135,2.283490345736454,3.284883741781548
0.00013550000000000001,2.2997170230683124,3.3015949815707826
0.000136,2.3160255197820088,3.3182889162783735
0.0001365,2.3324157406209687,3.3349654589120417
0.000137,2.348866105278682,3.3386032508612957
0.0001375,2.365307472901446,3.336095885369463
0.000138,2.381734548942413,3.3335710365032614
0.0001385,2.39814724751512,3.331028719511282
0.000139,2.4145454828185193,3.3284689497334354
0.0001395,2.430929169137414,3.325891742600869
0.00014000000000000001,2.447298220842914,3.3236800923592718
0.0001405,2.463701380498221,3.340216976376599
0.000141,2.480185468959143,3.3567363680292903
0.0001415,2.496750390127821,3.373238181272928
0.000142,2.5133960474864616,3.389722330165545
0.0001425,2.530122344097884,3.4061887288680714
0.000143,2.5469291826060836,3.4226372916447807
0.0001435,2.5638164652367994,3.439067932863734
0.000144,2.580784093798065,3.455480566997227
0.00014450000000000002,2.5978319696807866,3.4718751086222306
0.000145,2.6149599938593027,3.4882514724208353
0.0001455,2.63216806689196,3.5046095731806988
0.000146,2.649456088921679,3.52094932579548
0.0001465,2.6668239596765346,3.5372706452652882
0.000147,2.6842500938451654,3.5405521749773485
0.0001475,2.701665345579536,3.537687510178024
0.000148,2.7190644153490164,3.5348043269423752
0.0001485,2.736447212293934,3.53190264253263
0.000149,2.7538136456506295,3.5289824743076257
0.0001495,2.771163624751919,3.526043839722707
0.00015000000000000001,2.788497059027574,3.5234697350530255
0.0001505,2.8058626861101317,3.5396431397012447
0.000151,2.8233073219354385,3.5557980290837596
0.0001515,2.8408308654963963,3.571934319201329
0.000152,2.8584332153767185,3.5880519261623864
0.0001525,2.8761142697515094,3.6041507661834635
0.000153,2.8938739263878523,3.6202307555896285
0.0001535,2.911712082645388,3.6362918108149263
0.000154,2.9296286354769103,3.6523338484027983
0.00015450000000000001,2.9476234814289537,3.6683567850065253
0.000155,2.9656965166423874,3.6843605373896584
0.0001555,2.9838476368530067,3.7003450224264465
0.000156,3.002076737392134,3.7163101571022716
0.0001565,3.0203837131872127,3.7322558585140704
0.000157,3.038746974137249,3.735160772151001
0.0001575,3.057097369615596,3.731918495366451
0.000158,3.075429595324052,3.7286567063475804
0.0001585,3.09374355564645,3.7253754244737842
0.00015900000000000002,3.11203915507372,3.7220746692261217
0.0001595,3.130316298204389,3.7187544601871982
0.00016,3.1485748897450834,3.715797795764461
0.0001605,3.1668636626163593,3.7315876574978866
0.000161,3.185229428053266,3.7473580229461887
0.0001615,3.203672080359127,3.763108810257444
0.000162,3.2221915134393138,3.778839937692381
0.0001625,3.240787620801846,3.7945513236248005
0.000163,3.2594602955580054,3.8102428865420013
0.00016350000000000002,3.278209430422946,3.8259145450451983
0.000164,3.2970349177162976,3.8415662178499477
0.00016450000000000001,3.3159366493627926,3.857197823786564
0.000165,3.3349145168928698,3.8728092818005404
0.0001655,3.3539684114433,3.8884005109529705
0.000166,3.373098223757802,3.9039714304209627
0.0001665,3.3923038441876687,3.919521959498059
0.000167,3.4115636780672194,3.9220307458748835
0.0001675,3.4308085702166218,3.91839138911114
0.000168,3.450033211796001,3.914731569605145
0.0001685,3.4692375026590603,3.911051308952271
0.00016900000000000002,3.488421342778159,3.9073506288543696
0.0001695,3.5075846322448485,3.903629551119641
0.00017,3.526727271270377,3.899888097662512
0.0001705,3.5458960734972753,3.9152752107030784
0.000171,3.565139760692215,3.9306418923553257
0.0001715,3.584458222708269,3.9459880630117783
0.000172,3.6038513490122552,3.961313643182335
0.0001725,3.623319028685358,3.976618553494689
0.000173,3.6428611504237716,3.991902714694733
0.00017350000000000002,3.6624776025393126,4.007166047646963
0.000174,3.682168272960074,4.022408473334902
0.0001745,3.7019330492310507,4.037629912861488
0.000175,3.7217718185147763,4.0528302874494955
0.0001755,3.7416844675919707,4.068009518441941
0.000176,3.761670882862173,4.083167527302482
0.0001765,3.7817309503443943,4.098304235615828
0.000177,3.801843071052587,4.100398293368366
0.0001775,3.821938085498495,4.096343302420159
0.00017800000000000002,3.8420106805457808,4.092266945474457
0.0001785,3.8620607517636616,4.088169246436134
0.00017900000000000001,3.8820881948520243,4.084050229321093
0.0001795,3.9020929056419655,4.079909918256123
0.00018,3.9220747800963305,4.075748337478763
0.0001805,3.942080627621315,4.09071443153674
0.000181,3.962159165759348,4.1056592048761695
0.0001815,3.982310280151364,4.120582580226188
0.000182,4.002533856064179,4.135484480437793
0.0001825,4.022829778391134,4.150364828484227
0.000183,4.043197931652736,4.165223547461385
0.00018350000000000002,4.063638199997333,4.180060560588205
0.000184,4.0841504672017495,4.194875791207066
0.0001845,4.104734616671952,4.209669162784182
0.000185,4.125390531443712,4.224440598909988
0.0001855,4.146118094183253,4.239190023299555
0.000186,4.1669171871879245,4.25391735979296
0.0001865,4.187787692386864,4.268622532355695
